datetime,total_vol
10/27/2012,241165
10/28/2012,149397
10/29/2012,155312
10/30/2012,304336
10/31/2012,260353
11/1/2012,274300
11/2/2012,235310
11/3/2012,153402
11/4/2012,102985
11/5/2012,181095
11/6/2012,201166
11/7/2012,209071
11/8/2012,221364
11/9/2012,188746
11/10/2012,116385
11/11/2012,70782
11/12/2012,141148
11/13/2012,129323
11/14/2012,138495
11/15/2012,197617
11/16/2012,352938
11/17/2012,240582
11/18/2012,186303
11/19/2012,261419
11/20/2012,188673
11/21/2012,180767
11/22/2012,190136
11/23/2012,129408
11/24/2012,170373
11/25/2012,110521
11/26/2012,176997
11/27/2012,241122
11/28/2012,224703
11/29/2012,187947
11/30/2012,179558
12/1/2012,132458
12/2/2012,118130
12/3/2012,196436
12/4/2012,218093
12/5/2012,234930
12/6/2012,218965
12/7/2012,215837
12/8/2012,167651
12/9/2012,117806
12/10/2012,205376
12/11/2012,274580
12/12/2012,241682
12/13/2012,314719
12/14/2012,239227
12/15/2012,183552
12/16/2012,105971
12/17/2012,201625
12/18/2012,247528
12/19/2012,236504
12/20/2012,165379
12/21/2012,211096
12/22/2012,154215
12/23/2012,101679
12/24/2012,156110
12/25/2012,111224
12/26/2012,122188
12/27/2012,155966
12/28/2012,174286
12/29/2012,163625
12/30/2012,113709
12/31/2012,182152
1/1/2013,118193
1/2/2013,238887
1/3/2013,157948
1/4/2013,215143
1/5/2013,196090
1/6/2013,142261
1/7/2013,167054
1/8/2013,237421
1/9/2013,259737
1/10/2013,228352
1/11/2013,212328
1/12/2013,172918
1/13/2013,167325
1/14/2013,179173
1/15/2013,237188
1/16/2013,238407
1/17/2013,274678
1/18/2013,245541
1/19/2013,169197
1/20/2013,123269
1/21/2013,191390
1/22/2013,263059
1/23/2013,300130
1/24/2013,325163
1/25/2013,268574
1/26/2013,245015
1/27/2013,159274
1/28/2013,205433
1/29/2013,403577
1/30/2013,295506
1/31/2013,368120
2/1/2013,367158
2/2/2013,326136
2/3/2013,179644
2/4/2013,186739
2/5/2013,264011
2/6/2013,281895
2/7/2013,269457
2/8/2013,229395
2/9/2013,178194
2/10/2013,175246
2/11/2013,182959
2/12/2013,274003
2/13/2013,285150
2/14/2013,260520
2/15/2013,344516
2/16/2013,175740
2/17/2013,236938
2/18/2013,242323
2/19/2013,244979
2/20/2013,291622
2/21/2013,253356
2/22/2013,258377
2/23/2013,234715
2/24/2013,281188
2/25/2013,309019
2/26/2013,272968
2/27/2013,221600
2/28/2013,299563
3/1/2013,316864
3/2/2013,254575
3/3/2013,114778
3/4/2013,193638
3/5/2013,289132
3/6/2013,347388
3/7/2013,335040
3/8/2013,237957
3/9/2013,163027
3/10/2013,150118
3/11/2013,190216
3/12/2013,239629
3/13/2013,275857
3/14/2013,237724
3/15/2013,226170
3/16/2013,160162
3/17/2013,132482
3/18/2013,196394
3/19/2013,325116
3/20/2013,291099
3/21/2013,278802
3/22/2013,304877
3/23/2013,240706
3/24/2013,181828
3/25/2013,280494
3/26/2013,266716
3/27/2013,255955
3/28/2013,295981
3/29/2013,308497
3/30/2013,247269
3/31/2013,134107
4/1/2013,184951
4/2/2013,405801
4/3/2013,387081
4/4/2013,368179
4/5/2013,243990
4/6/2013,190632
4/7/2013,165900
4/8/2013,289590
4/9/2013,342542
4/10/2013,550847
4/11/2013,668929
4/12/2013,488570
4/13/2013,291709
4/14/2013,184965
4/15/2013,227880
4/16/2013,551345
4/17/2013,319316
4/18/2013,263180
4/19/2013,274850
4/20/2013,172932
4/21/2013,152132
4/22/2013,155334
4/23/2013,178285
4/24/2013,250437
